ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
67	32	2	1	0.000000	21.937500	21.937500	0.000000	0.000000	0	36	0
68	30739	0	0	0.000000	18.774098	0.352842	0.000000	0.000000	0	7351	0
69	147	1	2	0.000000	55.013605	34.285714	0.000000	0.000000	0	130	0
70	109	1	1	0.000000	18.045872	18.045872	0.000000	0.000000	0	32	0
71	55	1	1	0.000000	22.418182	19.581818	0.000000	0.000000	0	27	0
72	1353	1	1	0.000000	13.686622	13.676275	0.000000	0.000000	0	280	0
73	1	2	1	0.000000	20.000000	20.000000	0.000000	0.000000	0	9	0
74	23	0	0	0.000000	44.826087	44.826087	0.000000	0.000000	0	31	0
75	74	1	2	0.000000	25.594595	25.594595	0.000000	0.000000	0	42	0
76	70	1	1	0.000000	14.628571	14.628571	0.000000	0.000000	0	22	0
77	310752	1	0	0.000000	18.558188	0.187928	0.000000	0.000000	0	73525	0
78	340023	1	1	0.000000	18.524415	0.375345	0.000000	0.000000	0	79799	0
79	55	0	0	0.000000	3.072727	3.072727	0.000000	0.000000	0	6	0
80	25	3	1	0.000000	42.960000	42.960000	0.000000	0.000000	0	53	0
81	1	2	1	0.000000	30.000000	30.000000	0.000000	0.000000	0	25	0
82	2	1	1	0.000000	10.000000	10.000000	0.000000	0.000000	0	1	0
83	198	1	2	0.000000	28.525253	26.712121	0.000000	0.000000	0	70	0
84	55	0	0	0.000000	5.181818	5.181818	0.000000	0.000000	0	16	0
85	33	1	1	0.000000	13.636364	13.636364	0.000000	0.000000	0	9	0
86	24	0	0	0.000000	55.583333	55.583333	0.000000	0.000000	0	47	0
87	54	0	0	0.000000	28.851852	21.962963	0.000000	0.000000	0	43	0
88	32	1	1	0.000000	9.156250	9.156250	0.000000	0.000000	0	13	0
89	41	0	0	0.000000	22.975610	16.073171	0.000000	0.000000	0	31	0
90	75431	0	0	0.000000	18.689412	0.325383	0.000000	0.000000	0	17962	0
91	154329	1	1	0.000000	18.637884	1.321780	0.000000	0.000000	0	35873	0
92	55	1	1	0.000000	11.327273	11.327273	0.000000	0.000000	0	12	0
93	55	0	0	0.000000	3.018182	3.018182	0.000000	0.000000	0	9	0
94	55	0	0	0.000000	3.109091	3.109091	0.000000	0.000000	0	6	0
95	54	1	1	0.000000	13.759259	13.759259	0.000000	0.000000	0	33	0
96	325	2	2	0.000000	41.966154	30.218462	0.000000	0.000000	0	158	0
97	28798	1	1	0.000000	18.505625	0.048059	0.000000	0.000000	0	6692	0
98	46	0	0	0.000000	3.173913	3.173913	0.000000	0.000000	0	10	0
99	570	0	0	0.000000	4.601754	4.601754	0.000000	0.000000	0	31	0
100	87	2	2	0.000000	99.942529	64.804598	0.000000	0.000000	0	84	0
101	1043	1	3	0.000000	26.747843	26.066155	0.000000	0.000000	0	322	0
102	26	1	3	0.000000	53.500000	53.500000	0.000000	0.000000	0	22	0
103	2	0	0	0.000000	23.000000	23.000000	0.000000	0.000000	0	14	0
104	25404	1	1	0.000000	18.745906	0.063297	0.000000	0.000000	0	6199	0
105	76	0	1	0.000000	22.618421	22.618421	0.000000	0.000000	0	61	0
106	15	0	2	0.000000	26.800000	26.800000	0.000000	0.000000	0	20	0
107	208	0	0	0.000000	12.115385	12.115385	0.000000	0.000000	0	30	0
108	171	1	1	0.000000	23.795322	23.736842	0.000000	0.000000	0	58	0
109	2082	1	1	0.000000	17.490874	17.309318	0.000000	0.000000	0	468	0
110	109	1	1	0.000000	23.165138	22.311927	0.000000	0.000000	0	61	0
111	78	1	1	0.000000	15.871795	15.871795	0.000000	0.000000	0	18	0
112	54	1	1	0.000000	5.740741	5.740741	0.000000	0.000000	0	12	0
113	64	0	0	0.000000	25.406250	25.406250	0.000000	0.000000	0	32	0
114	5441	0	0	0.000000	18.972615	18.961956	0.000000	0.000000	0	1247	0
115	17	2	2	0.000000	19.823529	19.823529	0.000000	0.000000	0	14	0
116	55	0	0	0.000000	5.181818	5.181818	0.000000	0.000000	0	13	0
117	55	0	0	0.000000	4.963636	4.963636	0.000000	0.000000	0	14	0
118	3	2	1	0.000000	20.333333	20.333333	0.000000	0.000000	0	16	0
119	24	1	1	0.000000	10.083333	10.083333	0.000000	0.000000	0	10	0
120	55	0	0	0.000000	5.781818	5.781818	0.000000	0.000000	0	17	0
121	55	0	0	0.000000	3.654545	3.654545	0.000000	0.000000	0	13	0
122	55	0	0	0.000000	3.072727	3.072727	0.000000	0.000000	0	10	0
123	1	3	1	0.000000	55.000000	55.000000	0.000000	0.000000	0	45	0
124	45	1	1	0.000000	23.244444	23.244444	0.000000	0.000000	0	16	0
125	95	0	0	0.000000	26.147368	18.684211	0.000000	0.000000	0	36	0
126	12	2	0	0.000000	44.916667	44.916667	0.000000	0.000000	0	30	0
127	62	2	1	0.000000	34.064516	34.064516	0.000000	0.000000	0	58	0
128	297	0	0	0.000000	5.858586	5.858586	0.000000	0.000000	0	20	0
129	9	1	1	0.000000	10.666667	10.666667	0.000000	0.000000	0	8	0
130	48	0	0	0.000000	5.000000	5.000000	0.000000	0.000000	0	6	0
131	55	0	0	0.000000	3.327273	3.327273	0.000000	0.000000	0	12	0
132	42	3	1	0.000000	34.119048	34.119048	0.000000	0.000000	0	52	0
133	16	1	0	0.000000	21.687500	21.687500	0.000000	0.000000	0	19	0
134	7	0	0	0.000000	38.142857	38.142857	0.000000	0.000000	0	21	0
135	55	0	0	0.000000	4.690909	4.690909	0.000000	0.000000	0	13	0
136	21	0	0	0.000000	35.190476	35.190476	0.000000	0.000000	0	25	0
137	20	1	1	0.000000	6.350000	6.350000	0.000000	0.000000	0	6	0
138	2	0	0	0.000000	31.000000	31.000000	0.000000	0.000000	0	12	0
139	55	0	0	0.000000	3.327273	2.454545	0.000000	0.000000	0	10	0
140	80	0	0	0.000000	41.187500	41.187500	0.000000	0.000000	0	67	0
141	55	0	0	0.000000	4.527273	4.527273	0.000000	0.000000	0	15	0
142	283	0	0	0.000000	3.678445	3.678445	0.000000	0.000000	0	13	0
143	55	0	0	0.000000	3.054545	3.054545	0.000000	0.000000	0	11	0
144	55	0	0	0.000000	5.109091	5.109091	0.000000	0.000000	0	14	0
145	11	0	0	0.000000	46.727273	46.727273	0.000000	0.000000	0	28	0
146	121	0	0	0.000000	4.925620	4.925620	0.000000	0.000000	0	8	0
147	21	0	0	0.000000	38.000000	38.000000	0.000000	0.000000	0	21	0
148	55	0	0	0.000000	3.127273	3.127273	0.000000	0.000000	0	6	0
149	55	0	0	0.000000	4.418182	4.418182	0.000000	0.000000	0	13	0
150	7	1	1	0.000000	5.571429	5.571429	0.000000	0.000000	0	1	0
151	258	0	0	0.000000	3.046512	3.046512	0.000000	0.000000	0	10	0
152	9	0	0	0.000000	40.555556	40.555556	0.000000	0.000000	0	20	0
153	287	0	0	0.000000	6.783972	6.783972	0.000000	0.000000	0	21	0
154	370	0	0	0.000000	4.486486	4.486486	0.000000	0.000000	0	20	0
155	41	0	0	0.000000	3.390244	3.390244	0.000000	0.000000	0	6	0
156	255	0	0	0.000000	5.917647	5.917647	0.000000	0.000000	0	18	0
157	125	0	0	0.000000	4.264000	4.264000	0.000000	0.000000	0	6	0
158	118	0	0	0.000000	5.262712	5.262712	0.000000	0.000000	0	7	0
159	6	1	1	0.000000	15.333333	15.333333	0.000000	0.000000	0	1	0
160	84	1	2	0.000000	33.547619	21.547619	0.000000	0.000000	0	51	0
161	14	0	0	0.000000	35.357143	35.357143	0.000000	0.000000	0	30	0
162	4	0	0	0.000000	41.250000	41.250000	0.000000	0.000000	0	26	0
163	24	0	0	0.000000	44.541667	44.541667	0.000000	0.000000	0	36	0
164	1530	1	1	0.000000	17.808497	17.760784	0.000000	0.000000	0	332	0
165	22	1	1	0.000000	3.045455	3.045455	0.000000	0.000000	0	1	0
166	1	2	1	0.000000	45.000000	45.000000	0.000000	0.000000	0	39	0
167	2	1	0	0.000000	21.000000	19.000000	0.000000	0.000000	0	12	0
168	3	1	1	0.000000	7.000000	7.000000	0.000000	0.000000	0	7	0
169	18	1	2	0.000000	16.277778	15.666667	0.000000	0.000000	0	12	0
170	174	0	0	0.000000	5.356322	5.356322	0.000000	0.000000	0	10	0
