ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
1	21	1	1	0.000000	24.380952	24.380952	0.000000	0.000000	0	25	0
2	118	1	2	0.000000	30.601695	24.432203	0.000000	0.000000	0	89	0
3	95	2	2	0.000000	90.326316	90.326316	0.000000	0.000000	0	82	0
4	219	2	2	0.000000	37.123288	29.552511	0.000000	0.000000	0	154	0
5	159	2	2	0.000000	46.314465	37.232704	0.000000	0.000000	0	109	0
6	35277	1	1	0.000000	19.284009	7.270941	0.000000	0.000000	0	8594	0
7	8294	1	0	0.000000	19.411020	19.363878	0.000000	0.000000	0	1962	0
8	618	3	2	0.000000	35.179612	35.179612	0.000000	0.000000	0	329	0
9	1	2	1	0.000000	26.000000	26.000000	0.000000	0.000000	0	19	0
10	2614	1	1	0.000000	17.798011	17.753634	0.000000	0.000000	0	593	0
11	3935	1	2	0.000000	19.498856	18.657179	0.000000	0.000000	0	913	0
12	55	1	1	0.000000	52.145455	52.145455	0.000000	0.000000	0	95	0
13	1928	2	2	0.000000	25.870851	25.475622	0.000000	0.000000	0	662	0
14	3937	0	1	0.000000	18.355347	18.339853	0.000000	0.000000	0	910	0
15	437	2	2	0.000000	28.951945	23.986270	0.000000	0.000000	0	186	0
16	32623	0	0	0.000000	19.090427	11.926984	0.000000	0.000000	0	7793	0
17	406	1	1	0.000000	8.906404	8.758621	0.000000	0.000000	0	65	0
18	31	2	1	0.000000	51.741935	51.741935	0.000000	0.000000	0	72	0
19	56	1	2	0.000000	27.821429	27.821429	0.000000	0.000000	0	21	0
20	171	1	1	0.000000	20.918129	20.918129	0.000000	0.000000	0	46	0
21	46	1	1	0.000000	23.043478	23.043478	0.000000	0.000000	0	19	0
22	12	1	2	0.000000	35.333333	35.333333	0.000000	0.000000	0	20	0
23	15	1	2	0.000000	37.666667	37.666667	0.000000	0.000000	0	17	0
24	252	1	2	0.000000	32.809524	28.011905	0.000000	0.000000	0	90	0
25	82509	0	1	0.000000	18.778206	4.678762	0.000000	0.000000	0	19880	0
26	104561	1	2	0.000000	18.397347	1.350532	0.000000	0.000000	0	24076	0
27	37908	1	0	0.000000	18.646091	2.368075	0.000000	0.000000	0	8836	0
28	1	2	1	0.000000	37.000000	37.000000	0.000000	0.000000	0	28	0
29	3	2	1	0.000000	22.666667	22.666667	0.000000	0.000000	0	19	0
30	84	1	1	0.000000	20.583333	20.583333	0.000000	0.000000	0	36	0
31	61118	0	1	0.000000	19.354593	6.048447	0.000000	0.000000	0	15123	0
32	221	0	0	0.000000	30.660633	26.932127	0.000000	0.000000	0	112	0
33	109	1	1	0.000000	13.669725	13.669725	0.000000	0.000000	0	20	0
34	31	2	2	0.000000	63.580645	63.580645	0.000000	0.000000	0	24	0
35	122342	0	1	0.000000	18.990723	1.034485	0.000000	0.000000	0	29600	0
36	190	0	0	0.000000	30.484211	25.600000	0.000000	0.000000	0	92	0
37	35869	1	0	0.000000	18.445008	13.362960	0.000000	0.000000	0	8031	0
38	55	0	0	0.000000	5.145455	5.145455	0.000000	0.000000	0	18	0
39	83777	0	1	0.000000	18.534634	2.001373	0.000000	0.000000	0	19856	0
40	69	1	1	0.000000	22.420290	22.420290	0.000000	0.000000	0	29	0
41	51181	0	1	0.000000	19.424259	0.753287	0.000000	0.000000	0	12590	0
42	17713	1	0	0.000000	18.908598	4.356292	0.000000	0.000000	0	4115	0
43	92511	0	1	0.000000	19.174325	0.993017	0.000000	0.000000	0	22734	0
44	94	0	0	0.000000	28.106383	18.414894	0.000000	0.000000	0	53	0
45	77	0	0	0.000000	26.857143	26.857143	0.000000	0.000000	0	47	0
46	116406	1	1	0.000000	19.182851	0.255313	0.000000	0.000000	0	28697	0
47	110	1	2	0.000000	27.809091	27.809091	0.000000	0.000000	0	46	0
48	21214	0	0	0.000000	18.832045	5.229235	0.000000	0.000000	0	5068	0
49	70	0	0	0.000000	11.300000	10.928571	0.000000	0.000000	0	15	0
50	1070	1	1	0.000000	19.263551	19.263551	0.000000	0.000000	0	291	0
51	235590	1	1	0.000000	18.882835	0.101617	0.000000	0.000000	0	56229	0
52	58	1	2	0.000000	31.879310	31.879310	0.000000	0.000000	0	28	0
53	41422	0	0	0.000000	19.104896	0.089180	0.000000	0.000000	0	10093	0
54	52116	1	0	0.000000	18.311574	1.552786	0.000000	0.000000	0	11948	0
55	337	2	3	0.000000	40.614243	40.614243	0.000000	0.000000	0	118	0
56	95055	1	0	0.000000	18.914544	0.294419	0.000000	0.000000	0	22668	0
57	68	2	2	0.000000	38.735294	38.735294	0.000000	0.000000	0	74	0
58	92	2	1	0.000000	33.260870	32.380435	0.000000	0.000000	0	51	0
59	92	0	1	0.000000	14.391304	14.391304	0.000000	0.000000	0	12	0
60	192	0	0	0.000000	29.562500	17.994792	0.000000	0.000000	0	103	0
61	81	0	0	0.000000	3.555556	3.555556	0.000000	0.000000	0	18	0
62	169	1	1	0.000000	26.857988	26.857988	0.000000	0.000000	0	94	0
63	46	2	1	0.000000	38.043478	38.043478	0.000000	0.000000	0	30	0
64	272	2	2	0.000000	43.279412	34.830882	0.000000	0.000000	0	192	0
65	160526	1	1	0.000000	18.543725	0.086322	0.000000	0.000000	0	37496	0
66	52	1	1	0.000000	9.403846	9.403846	0.000000	0.000000	0	12	0
